lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
NC,"Gaston County, North Carolina",Gaston County, North Carolina,85705,5.2,5.6,10.5,9.7,13.9,18.7,12.7,15.2,4.9,3.6,56595
NC,"Guilford County, North Carolina",Guilford County, North Carolina,206950,7.4,4.6,9.6,9.8,14.8,17,12.4,13.9,5.3,5.3,55328
NC,"Harnett County, North Carolina",Harnett County, North Carolina,46416,6.3,5.6,12.3,10.6,10.7,19.7,15.1,13.9,3.6,2.3,55753
NC,"Henderson County, North Carolina",Henderson County, North Carolina,51115,2.8,4.9,10.6,9.5,12.7,20.6,15.5,13.7,4.8,4.8,62131
NC,"Iredell County, North Carolina",Iredell County, North Carolina,68145,3.1,3.4,8.4,9.6,10.9,19,15.1,15.8,6.6,8.2,68660
NC,"Johnston County, North Carolina",Johnston County, North Carolina,73567,7.1,3.7,8.4,8,14.5,15.7,13,18.4,5.1,6.2,60951
NC,"Lincoln County, North Carolina",Lincoln County, North Carolina,34418,4.8,4.8,4.9,11.7,11.1,17.8,13.1,12.7,12.1,6.9,71514
NC,"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,426313,4.5,3.4,6.5,8.2,12.9,18.5,13.1,15.2,6.9,10.9,69072
NC,"Moore County, North Carolina",Moore County, North Carolina,41530,5.2,3.3,10.7,8.7,10.8,20.3,14.4,14.5,6.4,5.6,62469
NC,"Nash County, North Carolina",Nash County, North Carolina,37574,7.8,6,11.5,10.1,13.5,21.5,10.5,13.6,3.3,2.2,50656
NC,"New Hanover County, North Carolina",New Hanover County, North Carolina,100189,7.1,4.3,10.1,7.9,15.4,16.5,10.5,14.8,6.1,7.3,56382
NC,"Onslow County, North Carolina",Onslow County, North Carolina,63604,8.4,1.9,11.4,10.1,18.8,19.9,11.5,10.9,5.1,2,49544
NC,"Orange County, North Carolina",Orange County, North Carolina,55259,8.7,3.1,5.1,7.5,12.2,13.8,10.8,15,9.7,14,74299
NC,"Pitt County, North Carolina",Pitt County, North Carolina,70926,8.5,5.4,10.7,8.5,13,21.1,11.1,13.2,4,4.4,53401
NC,"Randolph County, North Carolina",Randolph County, North Carolina,56117,6.6,5.6,12.2,9.7,16.3,21.9,13.6,10,3.2,0.9,49742
NC,"Robeson County, North Carolina",Robeson County, North Carolina,46272,16.3,9.6,13.1,10.9,16.1,14.5,8.9,7.3,2.3,1,35035
NC,"Rockingham County, North Carolina",Rockingham County, North Carolina,38462,7.8,10.2,13.4,10.5,14.5,19.1,12,8.5,2.1,1.8,43230
NC,"Rowan County, North Carolina",Rowan County, North Carolina,55241,4.4,5.5,13.6,9.8,14.5,21.5,12.8,11.4,3.7,2.8,51927
NC,"Rutherford County, North Carolina",Rutherford County, North Carolina,27970,4.3,8,13.5,12.8,17.5,18.3,10.4,9.1,2.1,3.9,44361
NC,"Surry County, North Carolina",Surry County, North Carolina,28408,9.8,5.7,15.8,7.8,11.5,17.7,13.7,14,1.5,2.6,49250
NC,"Union County, North Carolina",Union County, North Carolina,77954,3.3,2.1,6,6.2,9.7,16.7,13.3,18.8,9.5,14.5,85985
NC,"Wake County, North Carolina",Wake County, North Carolina,419361,3.6,2.1,6,7.2,10.3,15.6,13.1,19.1,11.2,11.8,84215
NC,"Wayne County, North Carolina",Wayne County, North Carolina,48482,8.6,5.9,8.9,13.2,19.7,17.3,13.9,8.2,2.6,1.8,44596
NC,"Wilkes County, North Carolina",Wilkes County, North Carolina,28376,7.8,4.1,17.1,10.6,15.4,16.3,11.3,12.8,3.5,1.2,43290
NC,"Wilson County, North Carolina",Wilson County, North Carolina,32384,13.5,9.3,12.9,9.7,13.1,13.1,8.7,12.6,4.5,2.6,38830
ND,"Burleigh County, North Dakota",Burleigh County, North Dakota,38438,4,4.8,6.5,6.7,11.7,18.1,12.6,21.2,6.5,8,72494
ND,"Cass County, North Dakota",Cass County, North Dakota,78736,6.2,5,7.5,9.3,11.9,18.8,13.2,14.9,6.1,7.2,62218
ND,"Grand Forks County, North Dakota",Grand Forks County, North Dakota,31506,7.1,4.5,11.8,13.3,7.4,20.5,12.8,14.2,3.9,4.5,56622
ND,"Ward County, North Dakota",Ward County, North Dakota,28908,3.5,3.6,6.2,8.4,15,15.6,18.1,20.4,5,4.5,71415
OH,"Allen County, Ohio",Allen County, Ohio,40460,5.4,3.7,8.8,10.6,14.8,21.5,17.4,12.7,2.5,2.6,60429
OH,"Ashtabula County, Ohio",Ashtabula County, Ohio,39490,7.5,5.2,13.5,14.3,12.2,20.6,11.1,10,3.4,2.2,44580
OH,"Athens County, Ohio",Athens County, Ohio,22659,10.7,7.7,10.3,13.3,11.8,16.5,10,12.8,4.6,2.2,41851
OH,"Belmont County, Ohio",Belmont County, Ohio,25651,6.3,5.4,8.9,12,17.6,20.8,9,12.1,3.7,4.2,49780
OH,"Butler County, Ohio",Butler County, Ohio,140141,6.3,3.2,7.5,7.4,11.1,18,15,15.7,9,6.8,68584
OH,"Clark County, Ohio",Clark County, Ohio,54406,7.7,4.3,10.1,13,14.6,18.7,12.4,12.3,4.5,2.3,50128
OH,"Clermont County, Ohio",Clermont County, Ohio,80041,3.9,3.4,8.5,6.4,13.2,18.2,11.8,18.5,8.3,7.7,67744
OH,"Columbiana County, Ohio",Columbiana County, Ohio,40560,7.3,5.5,9.7,10.5,12.4,21.8,14.6,14.2,2.5,1.5,53542
OH,"Cuyahoga County, Ohio",Cuyahoga County, Ohio,549471,8.5,5.7,10.4,9.9,12.9,18.2,11.7,12.6,4.8,5.4,52423
OH,"Delaware County, Ohio",Delaware County, Ohio,73290,2.2,1.1,5.7,5.4,7.7,11.4,11.8,22.2,12.9,19.6,107854
OH,"Erie County, Ohio",Erie County, Ohio,30308,6.8,2.9,7.5,8.7,14.8,19.2,16.1,16.5,4.7,2.7,60653
OH,"Fairfield County, Ohio",Fairfield County, Ohio,59031,2.8,3,8,9.4,10.2,19.3,13.8,19.2,7.3,7,71469
OH,"Franklin County, Ohio",Franklin County, Ohio,522383,5.4,3.3,9,8.2,12.1,19.5,12.7,16,7.1,6.7,64713
OH,"Geauga County, Ohio",Geauga County, Ohio,35439,2.5,2.3,5.6,10.1,10.4,17.5,13.3,18.9,9.1,10.3,77391
OH,"Greene County, Ohio",Greene County, Ohio,66154,4.1,2.8,8.2,9.6,13.3,16.3,13.7,15.6,8.5,7.7,67394
OH,"Hamilton County, Ohio",Hamilton County, Ohio,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198
OH,"Hancock County, Ohio",Hancock County, Ohio,32490,4.4,2.9,10.2,9.1,15.1,17.7,14.1,13.7,6.9,5.9,60944
OH,"Jefferson County, Ohio",Jefferson County, Ohio,27515,9.6,6,11,7.9,17.6,17.4,11.8,13.1,3.9,1.7,47445
OH,"Lake County, Ohio",Lake County, Ohio,96967,2.8,4,8.3,8.3,14,20.3,15.5,16.4,6.2,4.2,64076
OH,"Licking County, Ohio",Licking County, Ohio,66604,4.7,4.1,7.9,9.4,10.4,19.4,13.1,17.6,6.5,6.9,66013
OH,"Lorain County, Ohio",Lorain County, Ohio,120299,6.6,5.7,9.1,9.5,12.3,17.7,13.4,14.8,5.4,5.5,58686
OH,"Lucas County, Ohio",Lucas County, Ohio,182105,10.4,4.6,11,11.6,13,16.8,11.2,12.4,5.1,3.8,49448
OH,"Mahoning County, Ohio",Mahoning County, Ohio,100057,8.3,6.6,11.5,12.2,13.8,16.6,12.8,11.9,3.1,3.2,47170
OH,"Marion County, Ohio",Marion County, Ohio,25013,7,6.7,7.9,11.6,16.2,19.7,12.1,10.7,3.6,4.6,50608
OH,"Medina County, Ohio",Medina County, Ohio,70450,3.2,2,5.7,7.6,12.5,17.9,13.4,20.8,8.8,8,76468
OH,"Miami County, Ohio",Miami County, Ohio,41273,4,3.7,10.5,8.7,12.8,18.7,13.9,18.4,5,4.2,62451
OH,"Montgomery County, Ohio",Montgomery County, Ohio,224831,7.2,4,10.9,10.8,13.1,18.6,13.8,13.7,4.1,3.8,54537
OH,"Muskingum County, Ohio",Muskingum County, Ohio,33342,7.1,5,10.3,13.6,12.7,19.2,14.2,11.3,4.3,2.3,51844
OH,"Portage County, Ohio",Portage County, Ohio,61018,6.1,4,10,8.6,15.5,18.8,12.4,15.7,5,4,56679
OH,"Richland County, Ohio",Richland County, Ohio,49812,6.2,3.6,13.1,10,14.9,21.8,15.2,10.9,2.6,1.6,51783
OH,"Ross County, Ohio",Ross County, Ohio,28365,7.9,5.9,9.5,13.9,8.9,17.8,16.9,12.7,3.4,3.3,55717
OH,"Scioto County, Ohio",Scioto County, Ohio,29319,9.9,8.8,10.6,8.1,15.5,14.4,15.9,10.7,3.9,2.3,45571
OH,"Stark County, Ohio",Stark County, Ohio,154280,6.1,4.6,10.5,10.2,14.3,19.9,12.4,14.1,4.2,3.8,55499
OH,"Summit County, Ohio",Summit County, Ohio,224629,6.8,4.2,9.4,11,13.2,18.3,12.2,12.7,5.9,6.2,57364
OH,"Trumbull County, Ohio",Trumbull County, Ohio,84159,7.9,6.5,10.6,11.5,16.2,21.7,10.1,9.5,2.8,3.2,47087
OH,"Tuscarawas County, Ohio",Tuscarawas County, Ohio,36788,6,4.1,10.2,11.8,13.8,22.4,14.4,12.9,1.9,2.5,53616
OH,"Warren County, Ohio",Warren County, Ohio,84460,2.2,1.7,4.2,3.8,10.4,18.2,14.4,19,11.4,14.7,90837
OH,"Wayne County, Ohio",Wayne County, Ohio,44589,4.6,5.4,7.2,11.8,13.6,21.5,13.4,14.7,4.3,3.5,57458
OH,"Wood County, Ohio",Wood County, Ohio,51353,5.3,3.4,8.8,8.9,11.6,19.9,14.8,12.4,8.5,6.3,63791
OK,"Canadian County, Oklahoma",Canadian County, Oklahoma,46005,3.6,1.9,5.4,9.6,11.7,18.6,18.8,18.7,6.5,5.2,73635
OK,"Cleveland County, Oklahoma",Cleveland County, Oklahoma,108673,6.5,3.1,7.8,8.1,11.9,19.3,13.5,18.8,6.2,4.7,64290
OK,"Comanche County, Oklahoma",Comanche County, Oklahoma,41843,6.3,5.6,10.3,10.9,15.5,18.9,12.2,15.2,3.1,2,51300
OK,"Creek County, Oklahoma",Creek County, Oklahoma,26561,5.6,5.6,10,10.8,13.3,19.9,14.5,11.4,4.9,3.9,54969
OK,"Muskogee County, Oklahoma",Muskogee County, Oklahoma,26842,8.8,7.5,10.9,15.1,13.5,17.7,8.9,12,2.9,2.7,42450
OK,"Oklahoma County, Oklahoma",Oklahoma County, Oklahoma,305493,6.8,4.6,9.5,8.9,14,18.7,12.2,13,5.8,6.5,56235
OK,"Payne County, Oklahoma",Payne County, Oklahoma,31788,13.9,5,13.9,10.1,16.4,14.2,12,8.4,2.5,3.4,41272
OK,"Pottawatomie County, Oklahoma",Pottawatomie County, Oklahoma,25655,6.7,6.3,12.4,7.2,12.6,22.3,12.6,12.9,4.4,2.5,53511
OK,"Rogers County, Oklahoma",Rogers County, Oklahoma,35531,3.7,3.6,7.3,7.2,12.5,23,15,16.4,6.3,5.1,66132
OK,"Tulsa County, Oklahoma",Tulsa County, Oklahoma,255352,6.6,4,9.5,10.1,13.3,18.3,12.1,13.4,5.7,7,57483
OK,"Wagoner County, Oklahoma",Wagoner County, Oklahoma,29837,3.1,4,9,8.2,12.5,20.5,14.7,16.4,6.9,4.8,64319
OR,"Benton County, Oregon",Benton County, Oregon,37378,8.8,4.3,5.6,8.6,8.4,17.2,12.7,17.5,10.7,6.2,70835
OR,"Clackamas County, Oregon",Clackamas County, Oregon,161295,4.2,2.4,5.1,7,10.8,17.7,13.2,18.8,9.7,11.1,80294
OR,"Deschutes County, Oregon",Deschutes County, Oregon,76528,6.8,2.4,4.9,8.5,12.2,16.5,15.3,17.7,7.9,7.6,71643
OR,"Douglas County, Oregon",Douglas County, Oregon,46186,5.2,3.1,9.9,14.2,19.2,20,12.3,9.9,4,2.2,48585
OR,"Jackson County, Oregon",Jackson County, Oregon,87800,6.7,4.8,9.4,10.3,14.4,17.1,14.2,13.3,4.9,4.9,56450
OR,"Josephine County, Oregon",Josephine County, Oregon,35206,5,3.4,15.3,10.5,17.9,19.8,10.5,12,3.1,2.6,47573
OR,"Klamath County, Oregon",Klamath County, Oregon,29357,6.8,6.9,10.8,9.1,11.8,22.6,11.8,13,4.9,2.4,56348
OR,"Lane County, Oregon",Lane County, Oregon,155696,6.2,5.1,10.2,10,13.6,17.4,13.2,14.7,5.1,4.5,57325
OR,"Linn County, Oregon",Linn County, Oregon,49407,3.5,3.7,9.9,9.9,14.1,17.5,16.1,17.1,5.3,2.7,61488
OR,"Marion County, Oregon",Marion County, Oregon,121061,4.2,4.3,7.6,8.9,13.4,20.7,14.1,16,7.1,3.7,64306
OR,"Multnomah County, Oregon",Multnomah County, Oregon,337903,5.9,3.5,6.5,6.5,11.4,17.3,12.4,18,8.5,10,72900
OR,"Polk County, Oregon",Polk County, Oregon,31224,4.9,3.9,6.3,7.1,11.2,17,12.8,24.2,7.6,4.9,72914
OR,"Umatilla County, Oregon",Umatilla County, Oregon,27538,3.4,4.6,11.1,9.2,14.2,17.9,13.6,15.5,5.2,5.4,60425
OR,"Washington County, Oregon",Washington County, Oregon,222877,4.4,2.4,4.5,6.1,8.7,17.5,14.8,18.6,11.6,11.5,85734
OR,"Yamhill County, Oregon",Yamhill County, Oregon,36323,5.6,3.6,6.1,5.6,11.6,20.4,15.3,18.8,8.2,4.8,72904
PA,"Adams County, Pennsylvania",Adams County, Pennsylvania,38703,2.6,3.2,9.3,8.1,13.2,18,17.4,16.2,6.7,5.2,67715
PA,"Allegheny County, Pennsylvania",Allegheny County, Pennsylvania,553858,6.4,3.6,8.4,8.6,11.9,17.5,12.7,16.1,7,7.9,64871
PA,"Armstrong County, Pennsylvania",Armstrong County, Pennsylvania,29095,3.1,5.7,12.2,8.2,15.3,22.6,13.6,12.6,4.2,2.5,57636
PA,"Beaver County, Pennsylvania",Beaver County, Pennsylvania,70745,5.2,4.8,9.9,8.7,14.3,17.5,13.7,15.2,6.8,3.8,60672
PA,"Berks County, Pennsylvania",Berks County, Pennsylvania,154696,5,3.1,7.8,7.6,13.7,18.1,13.6,19.3,6.6,5.2,67708
PA,"Blair County, Pennsylvania",Blair County, Pennsylvania,52497,6.5,4.8,10,11.7,15.9,17.5,12.6,13.2,5.1,2.8,51004
PA,"Bucks County, Pennsylvania",Bucks County, Pennsylvania,240491,3,1.9,7,5.4,8.7,14.1,12.9,20.3,12,14.8,93767
PA,"Butler County, Pennsylvania",Butler County, Pennsylvania,77920,6.2,3.3,6.9,7.6,11,16.4,12.9,18.6,7.4,9.7,72262
PA,"Cambria County, Pennsylvania",Cambria County, Pennsylvania,56490,8,7.1,10.8,10.8,14,18.2,13.8,11.6,3.3,2.3,49076
PA,"Carbon County, Pennsylvania",Carbon County, Pennsylvania,27107,3.6,3.4,8,9.9,14,18.9,16,16.7,5.3,4.1,61111
PA,"Centre County, Pennsylvania",Centre County, Pennsylvania,58963,6.8,3.7,10.1,8.8,11,19.4,12.4,14.6,6.5,6.8,60706
PA,"Chester County, Pennsylvania",Chester County, Pennsylvania,193234,3.2,2,4.5,4.8,7.7,15.1,11.8,17.9,12,21,102016
PA,"Clearfield County, Pennsylvania",Clearfield County, Pennsylvania,31990,5.5,6.2,11.1,12.4,18.6,19.7,13,10.8,2,0.7,45643
PA,"Columbia County, Pennsylvania",Columbia County, Pennsylvania,26219,8.3,5.6,7.1,10.6,14.7,18.2,13.4,13.6,5.3,3.1,54570
PA,"Crawford County, Pennsylvania",Crawford County, Pennsylvania,35387,5,5.7,11.3,11.1,17.5,17,16.2,9.8,4.4,1.9,49428
PA,"Cumberland County, Pennsylvania",Cumberland County, Pennsylvania,101823,3.2,2.8,6.2,8.7,10.6,18,16.2,18.6,7.4,8.3,75391
PA,"Dauphin County, Pennsylvania",Dauphin County, Pennsylvania,113905,6.6,2.8,9.4,9.8,12.5,19.7,14.1,15,5,5.2,60733
PA,"Delaware County, Pennsylvania",Delaware County, Pennsylvania,209502,5.2,2.9,6.7,8.8,10.3,14.7,12.4,17.2,9,12.8,77339
PA,"Erie County, Pennsylvania",Erie County, Pennsylvania,110128,8.1,4.7,11.8,9.8,13.6,18.6,12.8,13.6,3.5,3.5,51818
PA,"Fayette County, Pennsylvania",Fayette County, Pennsylvania,54955,7.6,7.5,10.9,11.5,14.2,16,12.4,13.9,3.3,2.7,48509
PA,"Franklin County, Pennsylvania",Franklin County, Pennsylvania,60260,2.9,2.8,8.2,10.6,15.3,18,18.7,15.9,4.4,3.3,62484
PA,"Indiana County, Pennsylvania",Indiana County, Pennsylvania,30704,6.1,5.6,10.8,10.4,14.9,16.3,11.8,16.8,5.4,1.9,51914
PA,"Lackawanna County, Pennsylvania",Lackawanna County, Pennsylvania,88154,5.6,5.8,11.2,9.5,14.1,17.4,14.5,13,4.1,4.7,53826
PA,"Lancaster County, Pennsylvania",Lancaster County, Pennsylvania,204701,4.7,3.3,7.4,7.1,13,19.9,16,16.5,5.7,6.5,67376
PA,"Lawrence County, Pennsylvania",Lawrence County, Pennsylvania,37282,7.3,5.5,9.5,13.4,13.8,17.3,14.2,11.5,4.3,3.3,50547
PA,"Lebanon County, Pennsylvania",Lebanon County, Pennsylvania,53861,4,3.5,8.9,11.6,11,21.1,14.6,14.7,7.1,3.5,61204
PA,"Lehigh County, Pennsylvania",Lehigh County, Pennsylvania,137847,4.6,3.8,8.6,8.1,13.5,17.4,13.3,17,7.2,6.4,65667
PA,"Luzerne County, Pennsylvania",Luzerne County, Pennsylvania,130890,7,5.2,9.9,11,13.9,19.7,13.2,12.3,4.6,3.2,53972
PA,"Lycoming County, Pennsylvania",Lycoming County, Pennsylvania,44842,5.6,4.8,12.1,12,11,19,14.3,13.8,3.8,3.5,53881
PA,"Mercer County, Pennsylvania",Mercer County, Pennsylvania,46427,5.3,5.8,10.2,10.8,13.4,19.3,14,14.8,4.2,2.1,54543
PA,"Monroe County, Pennsylvania",Monroe County, Pennsylvania,56274,5.6,3.5,6.3,10.4,13.3,17.3,13.7,17,8.1,4.8,62413
PA,"Montgomery County, Pennsylvania",Montgomery County, Pennsylvania,321373,3,2,5.5,6.2,8.2,14.6,13.9,18.9,11.5,16.1,92302
PA,"Northampton County, Pennsylvania",Northampton County, Pennsylvania,114950,4.1,2.4,6.4,9.1,10.2,18.2,14.8,19.9,7.2,7.7,74328
PA,"Northumberland County, Pennsylvania",Northumberland County, Pennsylvania,38592,5.6,5.6,9.8,15.5,15.9,19.3,11.2,12.1,3.4,1.6,47349
PA,"Philadelphia County, Pennsylvania",Philadelphia County, Pennsylvania,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474
PA,"Schuylkill County, Pennsylvania",Schuylkill County, Pennsylvania,58242,5,6.1,10.5,9.2,12.9,20.6,15.3,14,4,2.4,56295
PA,"Somerset County, Pennsylvania",Somerset County, Pennsylvania,29456,5.9,4.3,13.4,10.8,17.3,17.4,13.1,13.1,2.8,1.9,48895
PA,"Washington County, Pennsylvania",Washington County, Pennsylvania,86716,5.1,5.5,7,8.6,12.6,16.8,12.9,15.8,7.9,7.7,65431
PA,"Westmoreland County, Pennsylvania",Westmoreland County, Pennsylvania,155147,7.2,3.9,9.1,9.3,13.7,17.9,14,14.1,5.9,5,59073
PA,"York County, Pennsylvania",York County, Pennsylvania,175441,4.3,3.1,8,7.4,12.3,19.4,14.2,19,6.9,5.4,69172
RI,"Kent County, Rhode Island",Kent County, Rhode Island,70166,4.1,2.7,7.8,6.5,9.6,19.9,15.4,19.7,7.7,6.6,74474
RI,"Newport County, Rhode Island",Newport County, Rhode Island,33690,5.9,1.7,5.5,7.4,9.8,15.1,13.6,18,10.5,12.5,81652
RI,"Providence County, Rhode Island",Providence County, Rhode Island,237518,6.7,5.8,8.7,8,12,16.7,14.2,15.9,6.7,5.4,62994
RI,"Washington County, Rhode Island",Washington County, Rhode Island,48051,3.2,3.1,4.3,8.8,8.4,14.6,11,22.4,11.9,12.4,90003
SC,"Aiken County, South Carolina",Aiken County, South Carolina,67889,6.5,6.2,11.8,7,14.4,18.4,13.9,12.8,5.3,3.6,55634
SC,"Anderson County, South Carolina",Anderson County, South Carolina,75825,5.5,5.1,11.5,10.3,13.4,18.9,13,13.4,3.4,5.6,54322
SC,"Beaufort County, South Carolina",Beaufort County, South Carolina,73043,3.8,2.4,4.9,10.2,12.9,16.6,13.8,15,8.2,12.1,74127
SC,"Berkeley County, South Carolina",Berkeley County, South Carolina,80640,5.7,2.8,6,8,12.2,19.4,14.8,20.8,5.7,4.7,69398
SC,"Charleston County, South Carolina",Charleston County, South Carolina,165568,6.7,2.6,7.9,6.1,11.2,17.3,12.3,16,8.4,11.4,71531
SC,"Darlington County, South Carolina",Darlington County, South Carolina,24801,7.3,7.4,17.6,10.1,11.6,13.3,11.6,13.7,4.4,3,44606
SC,"Dorchester County, South Carolina",Dorchester County, South Carolina,57768,3.2,3.6,6,9.6,14.8,16.9,15.3,17.9,8.1,4.5,68200
SC,"Florence County, South Carolina",Florence County, South Carolina,53047,10.1,5,9.2,10,15.6,17.8,12,12.9,3.8,3.5,50082
SC,"Greenville County, South Carolina",Greenville County, South Carolina,199551,5.4,3.2,7.3,9.6,14,17.6,13.1,15.4,6.7,7.7,64412
SC,"Greenwood County, South Carolina",Greenwood County, South Carolina,28544,10.6,5,14.5,12,15.5,18.2,10.1,8.6,2.9,2.7,42148
SC,"Horry County, South Carolina",Horry County, South Carolina,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694
SC,"Kershaw County, South Carolina",Kershaw County, South Carolina,24544,10,4.9,10.5,8.4,13.5,14.1,12.3,17.1,5.5,3.8,55198
SC,"Lancaster County, South Carolina",Lancaster County, South Carolina,35410,6,6.9,9.3,5,10.6,22,13.2,13.5,6.7,6.8,63924
SC,"Laurens County, South Carolina",Laurens County, South Carolina,25901,10.6,5.1,13.8,8.7,13.5,20.9,10.9,9.1,4.5,3,47218
SC,"Lexington County, South Carolina",Lexington County, South Carolina,118193,4.9,4.1,9.6,8.5,13.7,16.8,14.1,15,6.9,6.4,61631
SC,"Oconee County, South Carolina",Oconee County, South Carolina,31530,10.6,3.1,7.1,11.8,18.2,14.8,14.2,11.1,5.3,3.7,48204
SC,"Orangeburg County, South Carolina",Orangeburg County, South Carolina,32129,15.3,9.1,10.2,12.5,15.9,14.4,9.5,9.8,2.4,0.9,37701
SC,"Pickens County, South Carolina",Pickens County, South Carolina,48203,6.7,5.6,11.6,10.2,14.1,19.8,13.3,13,3.2,2.7,52190
SC,"Richland County, South Carolina",Richland County, South Carolina,153484,9.7,3.5,9.9,9.3,14.7,16.4,12,12.7,6.6,5,52293
SC,"Spartanburg County, South Carolina",Spartanburg County, South Carolina,121256,5.8,5.1,9.9,10,13.1,21.7,13.3,12.7,4.4,4,55339
SC,"Sumter County, South Carolina",Sumter County, South Carolina,44105,9.7,4.6,12.3,6.8,15.2,21.8,13.1,11.1,3.6,1.8,51025
SC,"York County, South Carolina",York County, South Carolina,108400,3.6,2.8,6.9,9.1,14.2,17.6,12.5,16.8,9.2,7.4,66949
SD,"Minnehaha County, South Dakota",Minnehaha County, South Dakota,81046,4,3.2,7.6,9.9,13.1,21.4,13.4,14.9,7.2,5.4,61968
SD,"Pennington County, South Dakota",Pennington County, South Dakota,44676,3.9,6,12.6,9.4,10.1,18.9,13.2,16.2,4.7,4.8,58085
TN,"Anderson County, Tennessee",Anderson County, Tennessee,30175,7.6,5.6,10.6,10.4,16.7,17.8,13,11.1,4,3.3,49044
TN,"Blount County, Tennessee",Blount County, Tennessee,50813,5.5,4.3,10.2,8.5,13.7,18.3,14.8,16.2,4.3,4.1,59276
TN,"Bradley County, Tennessee",Bradley County, Tennessee,39992,6.4,9.4,7,9.5,15.4,16.1,14.9,15.5,2.4,3.5,52468
